IMAGEID,N,col,row,longitude,latitude,T4,T11,pixel_poly,region
20220716_075533_AQUA,1,821,104,68.73020935058594,59.849342346191406,311.32830968722374,299.6697563070531,"POLYGON ((68.72127532958984 59.853721618652344, 68.73915100097656 59.853721618652344, 68.73915100097656 59.84496307373047, 68.72127532958984 59.84496307373047, 68.72127532958984 59.853721618652344))",UNKNOWN
20220716_075533_AQUA,2,807,113,68.92327117919922,59.96738052368164,312.0130927250156,301.95462256698056,"POLYGON ((68.91437530517578 59.97174644470215, 68.93217086791992 59.97174644470215, 68.93217086791992 59.96301460266113, 68.91437530517578 59.96301460266113, 68.91437530517578 59.97174644470215))",UNKNOWN
20220716_075533_AQUA,3,808,113,68.90547180175781,59.9643669128418,312.37560819578846,302.16439382610133,"POLYGON ((68.89657211303711 59.96873474121094, 68.91437530517578 59.96873474121094, 68.91437530517578 59.96000099182129, 68.89657211303711 59.96000099182129, 68.89657211303711 59.96873474121094))",UNKNOWN
20220716_075533_AQUA,4,826,136,68.43599700927734,60.10468673706055,312.8663800763418,302.28280356439706,"POLYGON ((68.42697525024414 60.10906791687012, 68.44502639770508 60.10906791687012, 68.44502639770508 60.10030746459961, 68.42697525024414 60.10030746459961, 68.42697525024414 60.10906791687012))",UNKNOWN
20220716_075533_AQUA,5,535,182,73.38933563232422,61.27560043334961,312.9480779399613,302.82785470753237,"POLYGON ((73.3797836303711 61.28007698059082, 73.39888000488281 61.28007698059082, 73.39888000488281 61.27112579345703, 73.3797836303711 61.27112579345703, 73.3797836303711 61.28007698059082))",UNKNOWN
20220716_075533_AQUA,6,756,188,69.35481262207031,60.75487518310547,312.07792198510407,295.70854749720434,"POLYGON ((69.34589767456055 60.759199142456055, 69.36372375488281 60.759199142456055, 69.36372375488281 60.75054931640625, 69.34589767456055 60.75054931640625, 69.34589767456055 60.759199142456055))",UNKNOWN
20220716_075533_AQUA,7,757,188,69.33699035644531,60.752010345458984,320.618677917325,296.6182979821412,"POLYGON ((69.32807922363281 60.7563362121582, 69.34590911865234 60.7563362121582, 69.34590911865234 60.7476863861084, 69.32807922363281 60.7476863861084, 69.32807922363281 60.7563362121582))",UNKNOWN
20220716_075533_AQUA,8,268,208,79.4323501586914,62.1334114074707,311.81974146717937,286.92986383283665,"POLYGON ((79.41748046875 62.13888740539551, 79.44710540771484 62.13888740539551, 79.44710540771484 62.12793159484863, 79.41748046875 62.12793159484863, 79.41748046875 62.13888740539551))",UNKNOWN
20220716_075533_AQUA,9,938,215,65.77064514160156,60.378841400146484,310.322316242059,299.9484296803475,"POLYGON ((65.76061248779297 60.38339042663574, 65.78070449829102 60.38339042663574, 65.78070449829102 60.374290466308594, 65.76061248779297 60.374290466308594, 65.76061248779297 60.38339042663574))",UNKNOWN
20220716_075533_AQUA,10,258,243,79.60397338867188,62.453392028808594,323.97688326696914,293.57907662792707,"POLYGON ((79.5886001586914 62.45893478393555, 79.61920928955078 62.45893478393555, 79.61920928955078 62.44784736633301, 79.5886001586914 62.44784736633301, 79.5886001586914 62.45893478393555))",UNKNOWN
20220716_075533_AQUA,11,332,303,77.26678466796875,62.809444427490234,312.8905394348921,300.8451422971003,"POLYGON ((77.25362396240234 62.81455612182617, 77.27990341186523 62.81455612182617, 77.27990341186523 62.80432891845703, 77.25362396240234 62.80432891845703, 77.25362396240234 62.81455612182617))",UNKNOWN
20220716_075533_AQUA,12,333,303,77.24054718017578,62.80709457397461,313.7991924201792,302.9048779975548,"POLYGON ((77.2274284362793 62.81220245361328, 77.25358963012695 62.81220245361328, 77.25358963012695 62.801984786987305, 77.2274284362793 62.801984786987305, 77.2274284362793 62.81220245361328))",UNKNOWN
20220716_075533_AQUA,13,334,303,77.21446228027344,62.804752349853516,311.0974302418097,298.02181952524796,"POLYGON ((77.20141983032227 62.809858322143555, 77.2275276184082 62.809858322143555, 77.2275276184082 62.79965019226074, 77.20141983032227 62.79965019226074, 77.20141983032227 62.809858322143555))",UNKNOWN
20220716_075533_AQUA,14,336,303,77.16221618652344,62.800045013427734,310.26190735134634,298.9421961095798,"POLYGON ((77.1491584777832 62.80513954162598, 77.17523193359375 62.80513954162598, 77.17523193359375 62.79494857788086, 77.1491584777832 62.79494857788086, 77.1491584777832 62.80513954162598))",UNKNOWN
